rbd|nombre|región|comuna|cod_edu|rama_edu|total lectura|promedio lectura|mediana lectura|desviación lectura|total matemática|promedio matemática|mediana matemática|desviación matemática|total historia|promedio historia|mediana historia|desviación historia|total ciencias|promedio ciencias|mediana ciencias|desviación ciencias|total nem|promedio nem|mediana nem|desviación nem|total ranking|promedio ranking|mediana ranking|desviación ranking
67|ABRAHAM LINCOLN SCHOOL|REGION DE ARICA Y PARINACOTA|ARICA|310|CIENTÍFICO-HUMANISTA DIURNO|36.0|536.0|530.0|70.52|36.0|528.1|546.0|81.83|24.0|516.2|537.5|123.55|22.0|513.0|517.5|95.87|38.0|700.3|702.0|76.85|38.0|711.3|710.0|84.9
41063|AULA HOSPITALARIA DE ARICA|REGION DE ARICA Y PARINACOTA|ARICA|310|CIENTÍFICO-HUMANISTA DIURNO|1.0||||1.0||||1.0||||0.0||||1.0||||1.0|||
12502|COLEGIO ANDINO|REGION DE ARICA Y PARINACOTA|ARICA|310|CIENTÍFICO-HUMANISTA DIURNO|20.0|548.9|595.0|119.81|20.0|533.1|526.0|96.48|10.0|591.1|607.5|71.68|15.0|567.6|573.0|72.39|20.0|653.6|643.0|93.06|20.0|663.8|643.0|105.47
12720|COLEGIO ADOLFO BEYZAGA OVANDO|REGION DE ARICA Y PARINACOTA|ARICA|310|CIENTÍFICO-HUMANISTA DIURNO|36.0|463.5|465.5|95.94|35.0|456.9|456.0|91.84|18.0|438.6|413.0|121.72|26.0|440.8|459.0|98.77|37.0|568.6|567.0|114.79|37.0|586.0|573.0|134.19
50|COLEGIO ADVENTISTA DE ARICA|REGION DE ARICA Y PARINACOTA|ARICA|310|CIENTÍFICO-HUMANISTA DIURNO|75.0|471.6|478.0|90.48|75.0|498.6|509.0|101.75|37.0|442.6|433.0|103.29|60.0|473.8|478.0|87.57|80.0|612.4|621.0|102.21|80.0|620.7|621.0|111.68
60|COLEGIO ALEMAN DE ARICA|REGION DE ARICA Y PARINACOTA|ARICA|310|CIENTÍFICO-HUMANISTA DIURNO|81.0|499.1|502.0|87.75|80.0|512.8|529.0|91.44|47.0|517.3|514.0|100.05|53.0|475.2|465.0|90.16|84.0|598.1|610.0|98.58|84.0|622.1|621.5|122.39
12587|COLEGIO ARICA COLLEGE|REGION DE ARICA Y PARINACOTA|ARICA|310|CIENTÍFICO-HUMANISTA DIURNO|80.0|510.3|511.0|88.36|79.0|498.9|509.0|92.15|55.0|504.5|508.0|86.51|55.0|510.6|516.0|83.79|81.0|666.9|659.0|90.88|81.0|675.5|664.0|98.36
12716|COLEGIO BICENTENARIO MIRAMAR DE EXCELENCIA|REGION DE ARICA Y PARINACOTA|ARICA|410|TÉCNICO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL COMERCIAL|21.0|414.0|423.0|82.18|21.0|458.3|466.0|62.09|17.0|460.5|442.0|67.57|5.0|436.4|406.0|66.02|25.0|587.0|611.0|111.88|25.0|626.4|644.0|141.98
12716|COLEGIO BICENTENARIO MIRAMAR DE EXCELENCIA|REGION DE ARICA Y PARINACOTA|ARICA|310|CIENTÍFICO-HUMANISTA DIURNO|28.0|477.1|470.5|91.93|28.0|473.4|471.0|81.59|17.0|514.5|538.0|94.97|16.0|479.6|498.0|77.62|32.0|602.1|574.5|100.58|32.0|628.5|592.0|124.04
12716|COLEGIO BICENTENARIO MIRAMAR DE EXCELENCIA|REGION DE ARICA Y PARINACOTA|ARICA|610|TÉCNICO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL TECNICA Y SERVICIOS|49.0|400.0|390.0|93.52|48.0|431.1|434.0|80.71|32.0|409.8|410.0|58.63|26.0|409.0|404.5|91.81|59.0|559.3|546.0|90.86|59.0|584.0|559.0|114.44
12716|COLEGIO BICENTENARIO MIRAMAR DE EXCELENCIA|REGION DE ARICA Y PARINACOTA|ARICA|510|TÉCNICO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL INDUSTRIAL|8.0|359.5|339.5|85.43|9.0|439.2|445.0|50.4|5.0|365.0|350.0|69.6|8.0|417.8|413.0|30.29|8.0|504.1|490.0|60.33|8.0|513.1|493.5|74.0
10915|COLEGIO CARDENAL ANTONIO SAMORE|REGION DE ARICA Y PARINACOTA|ARICA|310|CIENTÍFICO-HUMANISTA DIURNO|98.0|489.6|487.5|86.75|98.0|516.4|516.0|88.59|44.0|486.5|479.0|96.71|76.0|471.3|474.0|84.55|103.0|691.9|709.0|82.06|103.0|709.7|728.0|93.74
25|COLEGIO CENTENARIO DE ARICA|REGION DE ARICA Y PARINACOTA|ARICA|310|CIENTÍFICO-HUMANISTA DIURNO|24.0|386.3|381.0|83.75|24.0|419.0|428.0|91.96|23.0|404.3|415.0|69.7|18.0|405.1|391.0|70.99|28.0|493.3|482.0|102.28|28.0|502.3|482.0|118.51
12712|COLEGIO CHILE NORTE|REGION DE ARICA Y PARINACOTA|ARICA|510|TÉCNICO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL INDUSTRIAL|11.0|425.1|428.0|82.62|11.0|424.3|422.0|78.97|9.0|462.2|479.0|80.98|5.0|404.4|402.0|44.21|14.0|520.3|509.5|81.72|14.0|585.9|540.0|154.19
12712|COLEGIO CHILE NORTE|REGION DE ARICA Y PARINACOTA|ARICA|310|CIENTÍFICO-HUMANISTA DIURNO|23.0|483.3|497.0|108.97|23.0|494.0|509.0|88.24|16.0|502.9|503.0|68.46|14.0|471.6|479.5|106.84|26.0|564.8|563.5|110.51|26.0|590.4|564.5|141.37
10906|COLEGIO FORD COLLEGE|REGION DE ARICA Y PARINACOTA|ARICA|310|CIENTÍFICO-HUMANISTA DIURNO|31.0|554.5|564.0|106.58|30.0|538.9|540.0|95.3|13.0|560.2|538.0|69.04|23.0|534.9|531.0|113.2|31.0|724.8|731.0|68.83|31.0|746.3|756.0|82.86
8|COLEGIO INTEGRADO EDUARDO FREI MONTALVA|REGION DE ARICA Y PARINACOTA|ARICA|310|CIENTÍFICO-HUMANISTA DIURNO|45.0|411.5|412.0|100.06|45.0|437.3|445.0|83.45|33.0|420.0|442.0|98.55|24.0|427.6|436.5|76.63|54.0|565.1|582.0|135.98|54.0|593.0|605.5|161.79
45|COLEGIO ITALIANO SANTA ANA|REGION DE ARICA Y PARINACOTA|ARICA|310|CIENTÍFICO-HUMANISTA DIURNO|67.0|493.4|497.0|98.22|66.0|479.5|493.0|111.86|39.0|492.9|491.0|92.52|45.0|496.4|506.0|100.4|72.0|650.8|680.0|117.99|72.0|661.8|690.0|127.14
30003|COLEGIO JUAN PABLO II|REGION DE ARICA Y PARINACOTA|ARICA|310|CIENTÍFICO-HUMANISTA DIURNO|58.0|457.0|453.0|95.1|58.0|459.9|466.0|95.75|36.0|453.7|442.0|102.28|42.0|448.2|449.0|87.15|62.0|543.6|545.0|93.55|62.0|554.7|547.5|107.59
12630|COLEGIO LEONARDO DA VINCI|REGION DE ARICA Y PARINACOTA|ARICA|510|TÉCNICO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL INDUSTRIAL|14.0|402.4|430.0|76.2|13.0|426.4|434.0|89.28|13.0|432.0|442.0|70.71|6.0|374.7|380.0|68.21|18.0|522.2|505.5|116.33|18.0|538.4|505.5|137.77
12630|COLEGIO LEONARDO DA VINCI|REGION DE ARICA Y PARINACOTA|ARICA|363|CIENTÍFICO-HUMANISTA NOCTURNO|30.0|401.9|395.0|84.5|28.0|445.6|466.0|87.34|22.0|449.2|457.0|69.56|21.0|397.2|402.0|77.4|62.0|535.9|533.0|70.13|62.0|548.3|533.0|90.56
12630|COLEGIO LEONARDO DA VINCI|REGION DE ARICA Y PARINACOTA|ARICA|610|TÉCNICO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL TECNICA Y SERVICIOS|11.0|397.3|428.0|102.3|11.0|406.7|396.0|77.76|10.0|416.1|428.5|73.08|3.0|334.3|370.0|94.68|16.0|490.7|494.0|117.57|16.0|503.7|494.0|140.24
12505|COLEGIO PADRE LUIS GALLARDO|REGION DE ARICA Y PARINACOTA|ARICA|363|CIENTÍFICO-HUMANISTA NOCTURNO|1.0||||1.0||||1.0||||0.0||||1.0||||1.0|||
59|COLEGIO SAN JORGE|REGION DE ARICA Y PARINACOTA|ARICA|310|CIENTÍFICO-HUMANISTA DIURNO|26.0|558.0|571.5|120.95|26.0|597.4|583.0|80.19|15.0|524.9|542.0|148.86|20.0|585.6|583.5|114.24|27.0|745.6|757.0|98.39|27.0|748.7|760.0|100.08
