rbd,nombre,región,comuna,cod_edu,rama_edu,total.lectura,promedio.lectura,mediana.lectura,desviación.lectura,total.matemática,promedio.matemática,mediana.matemática,desviación.matemática,total.historia,promedio.historia,mediana.historia,desviación.historia,total.ciencias,promedio.ciencias,mediana.ciencias,desviación.ciencias,total.nem,promedio.nem,mediana.nem,desviación.nem,total.ranking,promedio.ranking,mediana.ranking,desviación.ranking,tipo.dependencia,nivel.socioeconómico,ruralidad
8902,COLEGIO CORDILLERA DE LAS CONDES,REGION METROPOLITANA DE SANTIAGO,LAS CONDES,310,CIENTÍFICO-HUMANISTA DIURNO,66,659.8,660,77.89,66,737.1,738,77.3,44,669.1,665,91.04,33,695.9,698,84.6,66,714.2,747.5,94.52,66,724.5,759,101.63,Particular pagado,Alto,Urbano
24979,COLEGIO LOS ALERCES,REGION METROPOLITANA DE SANTIAGO,LO BARNECHEA,310,CIENTÍFICO-HUMANISTA DIURNO,68,636.6,623,85.26,68,726.2,738,81.25,54,668.2,682,84.28,36,655.5,684,90.88,68,710.2,722,83.57,68,715.1,723.5,87.9,Particular pagado,Alto,Urbano
8862,COLEGIO TABANCURA,REGION METROPOLITANA DE SANTIAGO,VITACURA,310,CIENTÍFICO-HUMANISTA DIURNO,104,658.5,667,80.05,104,715.2,713,78.23,82,681.3,691,72.56,58,656.9,674.5,93.21,105,683.5,709,99.53,105,689.2,713,105.05,Particular pagado,Alto,Urbano
24624,COLEGIO TABOR Y NAZARETH,REGION METROPOLITANA DE SANTIAGO,LO BARNECHEA,310,CIENTÍFICO-HUMANISTA DIURNO,122,645.7,653,81.3,122,715.2,711,67.7,85,661.1,658,72.09,65,661.4,659,98.98,123,748,757,56.31,123,760,769,65.55,Particular pagado,Alto,Urbano
8873,COLEGIO VILLA MARIA ACADEMY,REGION METROPOLITANA DE SANTIAGO,LAS CONDES,310,CIENTÍFICO-HUMANISTA DIURNO,123,661.7,667,82.4,123,713.9,709,74.86,89,662,668,77.62,64,692.3,713.5,90.76,123,740.2,757,66.56,123,746,763,70.83,Particular pagado,Alto,Urbano
12036,COLEGIO PINARES,REGION DEL BIOBIO,CHIGUAYANTE,310,CIENTÍFICO-HUMANISTA DIURNO,21,632.4,647,63.41,21,713.2,723,65.86,11,642.8,651,88.78,14,697.8,702.5,74.29,21,738.6,742,55.46,21,750.7,753,64.78,Particular pagado,Alto,Urbano
8871,COLEGIO LOS ANDES DE VITACURA,REGION METROPOLITANA DE SANTIAGO,VITACURA,310,CIENTÍFICO-HUMANISTA DIURNO,62,660.9,675,84.46,62,711,723,82.87,56,661.9,666.5,88.61,37,681.8,697,81.74,64,738.5,760.5,78.43,64,746,768,83.74,Particular pagado,Alto,Urbano
9046,COLEGIO THE GRANGE SCHOOL,REGION METROPOLITANA DE SANTIAGO,LA REINA,310,CIENTÍFICO-HUMANISTA DIURNO,123,653.9,653,81.83,123,707.9,713,74.24,71,661.3,668,67.61,68,701,714,85.08,125,715.2,735,82.33,125,717.3,737,84.19,Particular pagado,Alto,Urbano
22144,COLEGIO PUERTO VARAS,REGION DE LOS LAGOS,PUERTO VARAS,310,CIENTÍFICO-HUMANISTA DIURNO,44,641.5,640,86.03,44,696.6,685,74.49,20,656.5,670,89.25,33,703,700,61.02,44,694.6,698,76.61,44,706.2,705,87.84,Particular pagado,Alto,Urbano
24836,COLEGIO SAN ISIDRO,REGION METROPOLITANA DE SANTIAGO,BUIN,310,CIENTÍFICO-HUMANISTA DIURNO,64,620.8,611,106.96,64,694.7,704.5,92.18,52,604.1,617.5,110.86,39,637.5,629,111.26,64,734.3,753,71.63,64,741.8,760,77.82,Particular pagado,Alto,Urbano
9237,INSTITUTO HEBREO DR CHAIM WEIZMANN-ORT,REGION METROPOLITANA DE SANTIAGO,LO BARNECHEA,310,CIENTÍFICO-HUMANISTA DIURNO,62,650,667,88.84,62,693.8,701.5,71.87,29,651.1,668,99.5,38,677.5,689,81.45,63,739.8,757,76.94,63,746.3,763,82.14,Particular pagado,Alto,Urbano
5812,COLEGIO ALEMAN,REGION DE LA ARAUCANIA,TEMUCO,310,CIENTÍFICO-HUMANISTA DIURNO,52,638.9,647,79.16,52,693.5,689,71.18,22,666.5,688,91.79,34,680.8,666.5,75.72,52,685.5,689,83.55,52,704.3,704,99.25,Particular pagado,Alto,Urbano
25107,COLEGIO MAIMONIDES SCHOOL,REGION METROPOLITANA DE SANTIAGO,LO BARNECHEA,310,CIENTÍFICO-HUMANISTA DIURNO,10,609.1,617.5,80.88,10,689.7,689,57.43,3,651.3,684,105.85,7,663.3,637,75.04,10,747.9,763.5,77.39,10,761.9,777,86.55,Particular pagado,Alto,Urbano
8893,COLEGIO INTERNACIONAL SEK CHILE,REGION METROPOLITANA DE SANTIAGO,LAS CONDES,310,CIENTÍFICO-HUMANISTA DIURNO,62,642.8,640,84.64,62,687.7,689,69.83,14,615.9,626.5,95.03,53,670.7,677,71.17,64,709.6,714.5,66.01,64,729.8,736,80.84,Particular pagado,Alto,Urbano
11968,COLEGIO CUMBRES,REGION METROPOLITANA DE SANTIAGO,LAS CONDES,310,CIENTÍFICO-HUMANISTA DIURNO,128,646.6,660,86.33,128,687.1,701.5,82.65,85,639,654,94.48,67,661.5,672,92.21,128,738.4,746,60.82,128,744.3,751,65.98,Particular pagado,Alto,Urbano
8995,COLEGIO SANTIAGO COLLEGE,REGION METROPOLITANA DE SANTIAGO,LO BARNECHEA,310,CIENTÍFICO-HUMANISTA DIURNO,116,647.3,647,79.6,116,686.9,689,71.78,57,645.2,644,85.76,66,695.8,695,57.39,117,712,731,80.36,117,719.6,738,86.69,Particular pagado,Alto,Urbano
8998,COLEGIO CAMBRIDGE COLLEGE,REGION METROPOLITANA DE SANTIAGO,PROVIDENCIA,310,CIENTÍFICO-HUMANISTA DIURNO,29,654.3,667,87.44,29,685.6,692,62.25,7,635.1,616,88.83,23,690.1,689,73.42,29,756.8,774,48.7,29,783.1,805,64.09,Particular pagado,Alto,Urbano
9051,COLEGIO ANDREE ENGLISH SCHOOL,REGION METROPOLITANA DE SANTIAGO,LA REINA,310,CIENTÍFICO-HUMANISTA DIURNO,137,637.1,634,93.53,136,685.6,690,90.77,58,642.6,652.5,92.43,93,688,686,85.76,137,745.5,753,66.55,137,748.8,755,69.26,Particular pagado,Alto,Urbano
15576,COLEGIO ARRAYANES,REGION DEL LIB. GRAL. BERNARDO O'HIGGINS,SAN FERNANDO,310,CIENTÍFICO-HUMANISTA DIURNO,27,614.6,611,80.01,27,681.4,683,66.65,19,633.5,644,95.04,19,648.6,636,84.59,27,707.5,724,88.36,27,724.6,740,102.28,Particular pagado,Alto,Urbano
8867,COLEGIO SAN FRANCISCO DE ASIS,REGION METROPOLITANA DE SANTIAGO,LAS CONDES,310,CIENTÍFICO-HUMANISTA DIURNO,76,637.4,647,92.08,75,681,678,63.82,56,652.6,657.5,82.56,40,639.3,648,77.08,77,702.3,709,82.39,77,712.8,717,90.92,Particular pagado,Alto,Urbano
24314,COLEGIO CRUZ DEL SUR,REGION DE MAGALLANES,PUNTA ARENAS,310,CIENTÍFICO-HUMANISTA DIURNO,16,615.3,628.5,110.64,16,680.9,646,88.37,11,633.9,619,99.89,10,646.8,637,69.64,16,682.9,669.5,81.74,16,690.6,669.5,92.46,Particular pagado,Alto,Urbano
